Delta,rc_TV_GRPs,rc_DigitalDisplay_Impressions,rc_search
-1,0,0,0
-0.95,98224.88612600416,133406.01742421836,2839336.4151588897
-0.9,213962.58978579193,260477.5701721683,5465976.269498535
-0.85,334810.5295239687,381887.34011317044,7913664.310446082
-0.8,457515.99242703617,498198.93090534955,10208213.47511867
-0.75,580459.143641144,609890.3090073392,12369901.388202619
-0.7,702690.4782352,717371.0601477697,14415002.631424803
-0.6499999999999999,823610.3360671252,820995.3694932014,16356812.531927051
-0.6,942826.3439131975,921071.9677193686,18206355.902168397
-0.55,1060078.853177242,1017871.8759276867,19972892.268234007
-0.5,1175197.6427874118,1111634.5224256665,21664285.024692647
-0.44999999999999996,1288074.8836724237,1202572.6345092654,23287276.923661627
-0.3999999999999999,1398647.342776984,1290876.1945267394,24847699.464091875
-0.35,1506884.1966162398,1376715.67147661,26350634.616138406
-0.29999999999999993,1612778.4295421168,1460244.6848523766,27800541.516852815
-0.25,1716340.6173843816,1541602.2186408788,29201356.98829786
-0.19999999999999996,1817594.3508368582,1620914.4753255174,30556576.1978998
-0.1499999999999999,1916572.8162598237,1698296.4391665682,31869318.05139167
-0.09999999999999998,2013316.211439088,1773853.2027345523,33142378.704220653
-0.04999999999999993,2107869.7746803686,1847681.0991660804,34378275.72385623
0,2200282.271316536,1919868.6738585904,35579284.821229786
0.050000000000000044,2290604.825718358,1990497.52259437,36747470.621186085
0.10000000000000009,2378890.01710134,2059643.0178664327,37884712.61027506
0.15000000000000013,2465191.1785837784,2127374.9410955384,38992727.1520959
0.20000000000000018,2549561.8540530875,2193758.0352062285,40073086.27268042
0.25,2632055.378348589,2258852.489468761,41127233.774922095
0.30000000000000004,2712724.5543233305,2322714.3664634526,42156499.130355865
0.3500000000000001,2791621.4063463286,2385395.9793714583,43162109.51043273
0.40000000000000013,2868796.9943242148,2446946.2264556885,44145200.25182218
0.4500000000000002,2944301.275757894,2507410.888502352,45106823.99681384
0.5,3018183.0059871078,2566832.89409671,46047958.70731269
0.55,3090489.6688160226,2625252.556866847,46969514.716785096
0.6000000000000001,3161267.4313031584,2682707.7882166207,47872340.956968576
0.6500000000000001,3230561.117745638,2739234.288558379,48757230.47380025
0.7000000000000002,3298414.1988716125,2794865.719629377,49624925.3287687
0.75,3364868.7930348963,2849633.8601172566,50476120.96691637
0.8,3429965.6768275425,2903568.7465177625,51311470.12036588
0.8500000000000001,3493744.303023644,2956698.8008919656,52131586.30600492
0.9000000000000001,3556242.8241675943,3009050.946972698,52937046.96744001
0.9500000000000002,3617498.12044207,3060650.7158848643,53728396.30420083
1,3677545.830711946,3111522.3425854295,54506147.82519165
1.0500000000000003,3736420.3858515173,3161688.8539929315,55270786.65834059
1.1,3794155.043634385,3211172.1496592388,56022771.644127876
1.15,3850781.9246052504,3259993.075735159,56762537.23704843
1.2000000000000002,3906332.0484670177,3308171.4928937927,57490495.235974416
1.25,3960835.3706100434,3355726.3387997076,58207036.3617412
1.3000000000000003,4014320.8184864894,3402675.685645707,58912531.698014975
1.35,4066816.32759548,3449036.7932212874,59607334.00955015
1.4000000000000004,4118348.876895532,3494826.1579262763,60291778.950263314
1.4500000000000002,4168944.523502916,3540059.5580990613,60966186.172094814
1.5,4218628.4365686625,3584752.0959896743,61630860.34436648
1.5500000000000003,4267424.930254988,3628918.2366738096,62286092.09224577
1.6,4315357.495754622,3672571.844173789,62932158.86196851
1.6500000000000004,4362448.83231537,3715726.215025373,63569325.71963561
1.7000000000000002,4408720.877247013,3758394.109505996,64197846.089665
1.75,4454194.834900089,3800587.780718714,64817962.43833622
1.8000000000000003,4498891.20461566,3842319.0017075986,65429906.907297894
1.85,4542829.807653382,3883599.0907635316,66033901.901408285
1.9000000000000004,4586029.813110858,3924438.935064569,66630160.634837404
1.9500000000000002,4628509.762852617,3964849.01278165,67218887.63896757
2,4670287.595470533,4004839.413768694,67800279.23528253
2.0500000000000003,4711380.669300303,4044419.8589451984,68374523.97612624
2.1,4751805.784520924,4083599.718470067,68941803.05593838
2.1500000000000004,4791579.204365261,4122388.028796725,69502290.69532785
2.2,4830716.675470978,4160793.5086917207,70056154.50012715
2.25,4869233.447401598,4198824.574292079,70603555.79737456
2.3000000000000003,4907144.291367613,4236489.353270367,71144649.94999506
2.35,4944463.518177539,4273795.698170617,71679586.65179375
2.4000000000000004,4981204.995448582,4310751.198973089,72208510.20423369
2.45,5017382.164106093,4347363.194941223,72731559.77634215
2.5,5053008.054200426,4383638.785799772,73248869.64897473
2.5500000000000003,5088095.300069094,4419584.842289291,73760569.44456246
2.6,5122656.154871471,4455208.016138487,74266784.34337354
2.6500000000000004,5156702.504522361,4490514.749492973,74767635.28723581
2.7,5190245.881049946,4525511.283835754,75263239.17158954
2.75,5223297.475402802,4560203.668432258,75753709.02666968
2.8000000000000003,5255868.149729624,4594597.768330209,76239154.18855375
2.85,5287968.449154675,4628699.271942459,76719680.46075289
2.9000000000000004,5319608.613070726,4662513.69823876,77195390.26697205
2.95,5350798.585970797,4696046.403570622,77666382.79561602
3,5381548.027838685,4729302.588151611,78132754.13657545
