Variables,Estimate,Error,Tvalue
Intercept,16630.83803583551,1873.4523912782,8.877107373136283
seasonID_cat,0.38104572230547173,0.018977361619713175,20.078961972756616
shelf_price,-54.19018381655837,17.83706091097771,-3.0380668702660176
Desire,1.333749158742724,7.703793778131678,0.17312887612967548
fb_total_imp_t,157.3054154214379,149.41131544287873,1.052834686283029
SrNonBrd_Clks_t,27.881821547226814,435.9858570898691,0.06395120642979842
DIS_IMP_t,5.93915142915084,111.2238175805977,0.05339819796103536
US_YT_percinview_t,158.5627357913065,397.1287052367489,0.3992729150535192
US_Abs_CEQTVGRPs_t,-19.42878819082847,26.901315916046734,-0.7222244536832909
RelAVG_P_CapM,-372.9614833964299,1172.273436483623,-0.318152294327485
