Orig_Variable,Trans_Variable,AggregateVariable,Variable_Type,Include,VaryBy,Transform,TransformType,Lag,Scale,Effective,Recency,Decay,Period,Window,Trim,Prior_Mean,Prior_SD,Simulate,Spent_Variable,VIF,Estimate,Error,Tvalue,R2,DW
Intercept,Intercept,Base,Trend,1,None,N,None,NA,1,NA,NA,0,0,NA,NA,0,1000000000,N,NA,NA,16630.83803583551,1873.4523912782,8.877107373136283,0.8991846305082309,1.357575761080576
seasonID_cat,seasonID_cat,Base,Trend,1,None,N,ma,NA,1,NA,NA,NA,NA,2,NA,0,1000000000,N,NA,2.062342484303735,0.38104572230547173,0.018977361619713175,20.078961972756616,0.8991846305082309,1.357575761080576
shelf_price,shelf_price,Price,Trend,1,None,N,log,NA,1,NA,NA,0,0,NA,NA,0,1000000000,N,NA,1.4581432994465495,-54.19018381655837,17.83706091097771,-3.0380668702660176,0.8991846305082309,1.357575761080576
Desire,Desire,Brandhealth,Trend,1,Year,N,None,NA,1,NA,NA,0,0,NA,NA,5,8,N,NA,1.5695213117117897,1.333749158742724,7.703793778131678,0.17312887612967548,0.8991846305082309,1.357575761080576
fb_total_imp,fb_total_imp_t,Facebook,Marketing,1,None,Y,adstock_log,NA,2e-7,NA,NA,0.9,1,NA,NA,0,1000000000,Y,fb_total_spd,2.791790999286964,157.3054154214379,149.41131544287873,1.052834686283029,0.8991846305082309,1.357575761080576
SrNonBrd_Clks,SrNonBrd_Clks_t,SrNonBrd,Marketing,1,Year,Y,adstock_log,NA,2e-4,NA,NA,0.8,4,NA,NA,0,1000000000,Y,SrNonBrd_Cost,2.4441584996746344,27.881821547226814,435.9858570898691,0.06395120642979842,0.8991846305082309,1.357575761080576
DIS_IMP,DIS_IMP_t,Display,Marketing,1,Year,Y,adstock_log,NA,2e-7,NA,NA,0.9,1,NA,NA,0,1000000000,Y,DIS_COST,1.5475273720490699,5.93915142915084,111.2238175805977,0.05339819796103536,0.8991846305082309,1.357575761080576
US_YT_percinview,US_YT_percinview_t,Youtube,Marketing,1,Year,Y,adstock_log,NA,1.37e-6,NA,NA,0.9,1,NA,NA,0,1000000000,Y,US_YT_Spend,2.0018501066786056,158.5627357913065,397.1287052367489,0.3992729150535192,0.8991846305082309,1.357575761080576
US_Abs_CEQTVGRPs,US_Abs_CEQTVGRPs_t,TV,Marketing,1,None,Y,adr,0,1,3,2,0.3,4,NA,NA,0,1000000000,Y,NA,1.5682564246015636,-19.42878819082847,26.901315916046734,-0.7222244536832909,0.8991846305082309,1.357575761080576
RelAVG_P_CapM,RelAVG_P_CapM,Base,Trend,1,None,N,None,NA,1,NA,NA,NA,NA,NA,NA,0,1000000000,Y,NA,1.897438313537384,-372.9614833964299,1172.273436483623,-0.318152294327485,0.8991846305082309,1.357575761080576
